Age,Sex,Employment_Type,Monthly_Income_INR,Existing_EMI_INR,CIBIL_Score,Loan_Amount_INR,Loan_Purpose,Housing_Type,Loan_Tenure_Months,Is_Default
37,male,Skilled Employee,58271,15595,790,90950,Education Loan,Family-Owned,36,0
25,female,Skilled Employee,76034,15499,800,119700,Consumer Durable Loan,Self-Owned,36,0
30,female,Skilled Employee,73434,27619,884,406650,Vehicle Loan,Self-Owned,36,0
46,male,Unskilled Resident,19188,7418,765,36500,Consumer Durable Loan,Rented,7,1
51,male,Highly Skilled,165697,33491,898,58200,Personal Loan,Family-Owned,8,0
41,female,Unskilled Resident,43732,16673,657,297700,Business Loan,Self-Owned,42,0
40,male,Highly Skilled,101314,43989,887,98850,Education Loan,Self-Owned,36,0
66,male,Highly Skilled,113954,22780,689,76300,Vehicle Loan,Family-Owned,12,0
34,male,Skilled Employee,97108,37026,697,198250,Consumer Durable Loan,Self-Owned,42,1
51,male,Skilled Employee,61508,22301,710,238550,Consumer Durable Loan,Self-Owned,11,1
39,male,Unskilled Resident,36969,10797,702,471800,Vehicle Loan,Self-Owned,54,0
22,male,Skilled Employee,85659,14337,726,191600,Consumer Durable Loan,Self-Owned,30,1
44,female,Skilled Employee,77545,13369,673,297150,Consumer Durable Loan,Self-Owned,24,0
47,male,Skilled Employee,76668,31106,786,60650,Consumer Durable Loan,Self-Owned,15,0
24,female,Unskilled Resident,38061,17014,675,78400,Business Loan,Rented,18,1
58,female,Unskilled Resident,28716,10131,772,87750,Personal Loan,Self-Owned,24,1
52,male,Unskilled Resident,21981,6237,842,115750,Consumer Durable Loan,Self-Owned,10,0
29,female,Highly Skilled,194680,67022,691,70600,Business Loan,Self-Owned,12,0
27,female,Skilled Employee,56907,18683,783,64750,Consumer Durable Loan,Self-Owned,18,0
47,male,Skilled Employee,58777,15580,764,630600,Education Loan,Family-Owned,36,0
30,male,Highly Skilled,183229,31091,900,112450,Vehicle Loan,Self-Owned,18,0
28,male,Skilled Employee,91745,36372,679,55400,Home Renovation Loan,Self-Owned,12,0
56,male,Skilled Employee,82928,21689,783,30900,Consumer Durable Loan,Self-Owned,12,0
54,male,Skilled Employee,66329,26242,589,70450,Vehicle Loan,Self-Owned,12,1
33,female,Unskilled Resident,29124,6574,680,39850,Consumer Durable Loan,Self-Owned,12,0
20,male,Skilled Employee,56282,8459,748,180850,Consumer Durable Loan,Rented,24,0
54,male,Skilled Employee,63624,12577,831,65900,Vehicle Loan,Self-Owned,12,0
58,male,Skilled Employee,63321,18398,621,797250,Business Loan,Rented,54,0
61,female,Skilled Employee,50488,21876,782,100600,Education Loan,Self-Owned,12,0
34,male,Skilled Employee,62574,11304,714,131100,Business Loan,Self-Owned,18,1
36,male,Skilled Employee,45240,18379,598,116850,Consumer Durable Loan,Self-Owned,36,1
36,male,Highly Skilled,133221,41046,734,352850,Vehicle Loan,Rented,20,0
41,male,Unskilled Resident,25478,10134,856,73450,Vehicle Loan,Rented,24,1
24,male,Skilled Employee,95645,22908,630,116150,Consumer Durable Loan,Rented,36,1
24,female,Skilled Employee,85162,34233,711,46600,Consumer Durable Loan,Self-Owned,6,0
35,male,Skilled Employee,59262,22629,641,95950,Consumer Durable Loan,Rented,9,1
26,male,Skilled Employee,93295,20433,682,122250,Vehicle Loan,Rented,12,0
39,male,Highly Skilled,142796,27045,834,596900,Personal Loan,Self-Owned,24,0
39,male,Highly Skilled,94432,38756,698,322900,Vehicle Loan,Self-Owned,18,1
32,male,Skilled Employee,69721,30605,832,303900,Vehicle Loan,Self-Owned,12,1
30,female,Skilled Employee,53568,8538,808,386050,Consumer Durable Loan,Self-Owned,24,0
35,male,Skilled Employee,99399,36716,690,70500,Business Loan,Self-Owned,14,1
31,male,Skilled Employee,54178,22909,679,72450,Business Loan,Self-Owned,6,0
23,female,Skilled Employee,90428,36823,648,19600,Education Loan,Rented,15,1
28,male,Unskilled Resident,37195,16341,645,313000,Vehicle Loan,Rented,18,1
25,female,Skilled Employee,40302,15235,748,392750,Vehicle Loan,Self-Owned,36,0
35,male,Skilled Employee,57022,16119,718,84000,Consumer Durable Loan,Self-Owned,12,0
47,male,Skilled Employee,40055,9756,670,178900,Consumer Durable Loan,Self-Owned,48,0
30,female,Highly Skilled,98717,24306,596,358700,Consumer Durable Loan,Self-Owned,42,0
27,female,Skilled Employee,68699,25234,728,106600,Consumer Durable Loan,Rented,10,0
23,female,Skilled Employee,48150,17996,682,214050,Consumer Durable Loan,Self-Owned,33,1
36,male,Highly Skilled,157661,33125,704,118300,Vehicle Loan,Self-Owned,12,0
25,female,Skilled Employee,84247,34578,744,91750,Consumer Durable Loan,Self-Owned,21,0
41,female,Highly Skilled,106748,38907,519,193400,Vehicle Loan,Rented,24,1
24,male,Unskilled Resident,21809,6953,597,88400,Consumer Durable Loan,Rented,12,0
63,male,Skilled Employee,44621,13005,900,39050,Vehicle Loan,Family-Owned,10,0
27,female,Skilled Employee,55034,17223,679,96200,Consumer Durable Loan,Rented,18,0
30,male,Skilled Employee,86391,17085,518,106050,Vehicle Loan,Self-Owned,12,0
40,male,Unskilled Resident,44554,9405,604,35050,Consumer Durable Loan,Self-Owned,12,0
30,male,Skilled Employee,45126,8003,900,31950,Home Renovation Loan,Self-Owned,12,1
34,male,Highly Skilled,95122,18653,663,93000,Vehicle Loan,Self-Owned,12,0
29,female,Skilled Employee,58030,16602,812,174950,Vehicle Loan,Self-Owned,12,0
24,female,Skilled Employee,57302,17712,729,424350,Vehicle Loan,Self-Owned,48,0
29,male,Skilled Employee,59181,9194,681,344350,Education Loan,Self-Owned,36,0
27,male,Unskilled Resident,37890,14740,782,135400,Consumer Durable Loan,Self-Owned,15,0
47,male,Skilled Employee,78638,18735,529,99200,Consumer Durable Loan,Family-Owned,18,1
21,female,Skilled Employee,41531,17590,604,507200,Consumer Durable Loan,Self-Owned,60,1
38,female,Skilled Employee,80940,35634,680,62000,Consumer Durable Loan,Self-Owned,12,0
27,male,Skilled Employee,92497,19020,612,430650,Vehicle Loan,Self-Owned,27,1
66,male,Unskilled Resident,22673,6544,673,38300,Consumer Durable Loan,Self-Owned,12,0
35,male,Skilled Employee,63333,9523,788,136400,Consumer Durable Loan,Self-Owned,15,0
44,female,Unskilled Resident,21882,7210,730,94050,Consumer Durable Loan,Rented,12,0
27,male,Unskilled,16906,5616,826,35450,Vehicle Loan,Self-Owned,6,1
30,female,Highly Skilled,125854,28224,735,239750,Consumer Durable Loan,Self-Owned,36,0
27,male,Highly Skilled,136271,43269,799,170800,Consumer Durable Loan,Self-Owned,27,0
22,male,Skilled Employee,48152,10480,714,123100,Consumer Durable Loan,Self-Owned,18,0
23,female,Skilled Employee,78518,15566,672,114400,Consumer Durable Loan,Self-Owned,21,0
30,male,Skilled Employee,85540,29550,838,178300,Business Loan,Self-Owned,48,1
39,female,Skilled Employee,50267,12455,663,43000,Vehicle Loan,Self-Owned,6,0
51,female,Skilled Employee,65289,21354,747,34100,Vehicle Loan,Self-Owned,12,0
28,male,Skilled Employee,41062,11496,781,268550,Consumer Durable Loan,Self-Owned,36,0
46,male,Skilled Employee,91128,40579,787,79100,Consumer Durable Loan,Self-Owned,18,1
42,male,Skilled Employee,90448,17625,626,67300,Consumer Durable Loan,Family-Owned,6,1
38,male,Skilled Employee,69926,20235,804,96200,Consumer Durable Loan,Self-Owned,10,0
24,male,Skilled Employee,46229,16371,641,292400,Consumer Durable Loan,Self-Owned,36,1
29,female,Skilled Employee,96793,26004,784,387900,Vehicle Loan,Rented,24,0
36,male,Highly Skilled,137915,61014,762,348350,Business Loan,Rented,24,0
20,female,Skilled Employee,44632,16360,785,64100,Consumer Durable Loan,Rented,12,0
48,male,Skilled Employee,79056,27439,623,64400,Home Renovation Loan,Self-Owned,9,0
45,male,Unskilled Resident,18596,7012,767,16950,Education Loan,Self-Owned,12,0
38,male,Skilled Employee,84243,36712,806,175600,Vehicle Loan,Self-Owned,24,1
34,male,Unskilled Resident,21168,8940,735,94900,Consumer Durable Loan,Self-Owned,6,0
36,male,Skilled Employee,82563,30324,654,143600,Consumer Durable Loan,Self-Owned,24,1
30,female,Skilled Employee,47561,17823,793,52750,Vehicle Loan,Self-Owned,18,0
36,male,Skilled Employee,48258,9351,729,63100,Personal Loan,Self-Owned,15,0
70,male,Highly Skilled,172152,31131,586,365400,Vehicle Loan,Family-Owned,10,0
36,male,Skilled Employee,99500,31966,648,45450,Vehicle Loan,Self-Owned,36,0
32,male,Skilled Employee,98513,15319,677,148900,Consumer Durable Loan,Self-Owned,6,0
33,female,Skilled Employee,66734,19666,840,56550,Consumer Durable Loan,Self-Owned,18,0
20,female,Skilled Employee,46371,9881,826,78850,Consumer Durable Loan,Self-Owned,11,0
25,female,Skilled Employee,93358,23694,826,198600,Consumer Durable Loan,Rented,24,1
31,male,Skilled Employee,66069,25287,738,96750,Business Loan,Self-Owned,24,1
33,male,Skilled Employee,54369,23507,793,47500,Vehicle Loan,Rented,15,0
26,female,Skilled Employee,52910,9085,628,38150,Consumer Durable Loan,Self-Owned,12,0
34,female,Highly Skilled,163479,50723,720,103200,Consumer Durable Loan,Self-Owned,24,0
33,male,Skilled Employee,52199,21650,756,70700,Consumer Durable Loan,Self-Owned,8,0
26,male,Skilled Employee,55728,9738,634,170700,Education Loan,Self-Owned,21,1
53,female,Highly Skilled,113275,45010,736,374250,Vehicle Loan,Self-Owned,30,1
42,male,Skilled Employee,46738,12027,854,128850,Consumer Durable Loan,Self-Owned,12,0
52,male,Skilled Employee,55913,13789,764,16900,Consumer Durable Loan,Self-Owned,6,0
31,male,Highly Skilled,190776,84559,793,98150,Consumer Durable Loan,Rented,12,0
65,male,Skilled Employee,59123,12431,523,28550,Vehicle Loan,Self-Owned,21,1
28,male,Skilled Employee,94553,33846,844,478600,Business Loan,Self-Owned,36,0
30,male,Highly Skilled,138447,54884,705,222750,Business Loan,Self-Owned,36,1
40,male,Unskilled Resident,16761,2721,658,82350,Vehicle Loan,Self-Owned,21,0
50,male,Skilled Employee,50167,17614,706,188850,Consumer Durable Loan,Self-Owned,24,0
36,male,Skilled Employee,50554,22014,601,44200,Vehicle Loan,Self-Owned,18,1
31,male,Skilled Employee,57260,10722,803,68000,Consumer Durable Loan,Self-Owned,15,0
74,female,Highly Skilled,93812,39294,693,256450,Vehicle Loan,Family-Owned,9,1
68,male,Unskilled,43024,14130,660,58750,Vehicle Loan,Family-Owned,16,0
20,male,Skilled Employee,98656,33047,706,33700,Consumer Durable Loan,Self-Owned,12,0
33,female,Skilled Employee,90612,30253,809,162200,Consumer Durable Loan,Self-Owned,18,0
54,male,Highly Skilled,117285,28107,730,229550,Business Loan,Self-Owned,24,0
34,male,Unskilled Resident,41900,18040,607,192200,Business Loan,Family-Owned,48,1
36,male,Skilled Employee,90885,39462,757,195750,Business Loan,Self-Owned,27,0
29,male,Skilled Employee,41605,14045,645,105400,Consumer Durable Loan,Rented,6,1
21,male,Skilled Employee,45622,17565,547,151550,Consumer Durable Loan,Rented,45,1
34,female,Highly Skilled,162303,54156,839,75050,Education Loan,Self-Owned,9,0
28,female,Skilled Employee,67139,19827,756,69100,Consumer Durable Loan,Self-Owned,6,0
27,female,Skilled Employee,51613,17974,713,47550,Consumer Durable Loan,Rented,12,1
36,male,Skilled Employee,96138,30370,692,138000,Vehicle Loan,Family-Owned,24,0
40,male,Highly Skilled,166125,54695,831,214850,Consumer Durable Loan,Self-Owned,18,0
52,male,Skilled Employee,53918,20766,900,46800,Education Loan,Self-Owned,9,0
27,male,Unskilled Resident,35119,10334,755,58400,Vehicle Loan,Self-Owned,12,0
26,male,Skilled Employee,67446,10941,637,255850,Business Loan,Self-Owned,27,1
21,male,Skilled Employee,98504,19621,707,45100,Education Loan,Rented,12,0
38,male,Unskilled Resident,28046,7897,754,74750,Vehicle Loan,Self-Owned,12,0
38,male,Highly Skilled,114818,42189,532,531150,Vehicle Loan,Family-Owned,30,1
43,male,Skilled Employee,75358,24716,746,96750,Consumer Durable Loan,Self-Owned,12,0
26,male,Skilled Employee,90215,31132,754,71200,Personal Loan,Self-Owned,12,0
21,male,Unskilled Resident,19324,5677,826,328400,Business Loan,Self-Owned,24,0
55,male,Skilled Employee,50787,16999,817,70650,Vehicle Loan,Self-Owned,12,0
33,male,Skilled Employee,49111,12214,728,153700,Consumer Durable Loan,Self-Owned,9,0
45,female,Unskilled Resident,20342,5920,841,191750,Consumer Durable Loan,Self-Owned,36,0
50,male,Skilled Employee,56389,21049,882,264650,Business Loan,Self-Owned,27,1
66,male,Highly Skilled,131427,54088,722,95400,Business Loan,Self-Owned,30,0
51,male,Skilled Employee,54043,15137,753,167100,Consumer Durable Loan,Self-Owned,36,0
39,female,Unskilled Resident,43746,7134,578,46600,Education Loan,Self-Owned,6,1
31,male,Skilled Employee,97347,19323,603,155200,Business Loan,Self-Owned,18,0
23,male,Skilled Employee,62350,9742,652,195650,Consumer Durable Loan,Self-Owned,36,0
24,male,Unskilled Resident,23837,8247,684,151050,Consumer Durable Loan,Rented,24,0
64,female,Skilled Employee,40117,10016,632,68200,Vehicle Loan,Self-Owned,10,0
26,male,Unskilled Resident,42504,13292,717,31250,Consumer Durable Loan,Self-Owned,12,1
23,female,Skilled Employee,86685,25830,686,60000,Education Loan,Rented,12,0
30,male,Skilled Employee,58935,10281,805,35350,Consumer Durable Loan,Self-Owned,12,0
32,male,Skilled Employee,87077,23595,682,148900,Business Loan,Self-Owned,24,0
30,male,Skilled Employee,53234,11507,537,232850,Vehicle Loan,Self-Owned,15,0
27,male,Skilled Employee,78328,21580,730,130650,Home Renovation Loan,Self-Owned,36,0
27,male,Skilled Employee,93441,19722,718,548050,Consumer Durable Loan,Self-Owned,48,0
53,male,Highly Skilled,90846,36532,651,393250,Consumer Durable Loan,Family-Owned,12,1
22,male,Skilled Employee,50954,10305,727,73900,Consumer Durable Loan,Self-Owned,9,0
22,male,Skilled Employee,53703,23534,633,157450,Consumer Durable Loan,Family-Owned,24,0
26,male,Skilled Employee,88153,24221,746,210500,Consumer Durable Loan,Self-Owned,36,0
51,male,Unskilled Resident,28746,11609,900,125350,Vehicle Loan,Family-Owned,9,0
35,male,Skilled Employee,62700,21232,575,107050,Consumer Durable Loan,Self-Owned,12,0
25,male,Unskilled Resident,21469,7956,678,43300,Consumer Durable Loan,Self-Owned,18,0
42,male,Unskilled Resident,24333,9254,665,77200,Consumer Durable Loan,Self-Owned,4,0
30,male,Highly Skilled,154323,46521,685,91150,Consumer Durable Loan,Self-Owned,24,0
23,male,Unskilled,41386,12953,801,727750,Vehicle Loan,Self-Owned,6,0
61,male,Unskilled Resident,40299,12258,763,138350,Business Loan,Rented,21,0
35,female,Skilled Employee,89376,29173,787,64550,Consumer Durable Loan,Self-Owned,12,0
39,male,Skilled Employee,85587,13592,722,126100,Consumer Durable Loan,Self-Owned,30,0
29,female,Skilled Employee,76976,20679,614,45750,Vehicle Loan,Self-Owned,24,1
51,male,Skilled Employee,79051,26233,630,79750,Consumer Durable Loan,Self-Owned,6,1
24,male,Skilled Employee,42048,13847,779,230250,Vehicle Loan,Family-Owned,48,0
27,female,Skilled Employee,79001,30643,733,59250,Business Loan,Self-Owned,12,0
35,female,Unskilled Resident,27941,9681,820,172350,Education Loan,Self-Owned,12,0
25,male,Skilled Employee,85375,38217,743,62900,Business Loan,Self-Owned,24,1
52,male,Skilled Employee,82533,19408,625,35850,Consumer Durable Loan,Self-Owned,12,1
35,male,Skilled Employee,41828,10780,678,60200,Vehicle Loan,Rented,6,0
26,male,Skilled Employee,41917,11114,765,96250,Consumer Durable Loan,Self-Owned,24,0
22,female,Skilled Employee,60618,17563,776,21650,Consumer Durable Loan,Rented,18,0
39,female,Unskilled Resident,21988,8812,788,33300,Vehicle Loan,Self-Owned,6,1
46,female,Unskilled Resident,33410,7374,636,112550,Consumer Durable Loan,Self-Owned,12,0
24,female,Skilled Employee,87362,33442,623,107500,Vehicle Loan,Self-Owned,30,1
35,male,Skilled Employee,60128,16330,704,207550,Consumer Durable Loan,Self-Owned,24,0
24,male,Skilled Employee,98245,32475,835,101500,Consumer Durable Loan,Self-Owned,9,0
27,male,Unskilled Resident,27977,9505,664,370900,Consumer Durable Loan,Self-Owned,60,0
35,male,Unskilled Resident,41615,10897,756,134200,Consumer Durable Loan,Self-Owned,24,0
29,male,Skilled Employee,40009,12154,756,107450,Consumer Durable Loan,Family-Owned,12,0
23,female,Skilled Employee,56644,15515,780,190600,Vehicle Loan,Self-Owned,15,0
57,female,Unskilled Resident,37422,6389,853,57700,Consumer Durable Loan,Self-Owned,11,0
27,male,Skilled Employee,49865,14019,844,82850,Consumer Durable Loan,Self-Owned,12,0
55,female,Skilled Employee,42219,7566,672,80150,Consumer Durable Loan,Self-Owned,24,0
36,male,Highly Skilled,129809,35243,552,265100,Vehicle Loan,Family-Owned,18,0
57,female,Unskilled Resident,33444,10965,665,137400,Education Loan,Family-Owned,12,0
32,male,Unskilled Resident,20287,6569,726,61550,Vehicle Loan,Self-Owned,10,0
37,male,Skilled Employee,74387,25945,691,40100,Consumer Durable Loan,Self-Owned,15,0
36,male,Skilled Employee,48512,8663,877,315200,Business Loan,Self-Owned,36,0
38,female,Skilled Employee,41342,14289,721,76650,Consumer Durable Loan,Self-Owned,24,1
45,male,Highly Skilled,153076,37296,772,448900,Vehicle Loan,Self-Owned,14,0
25,male,Skilled Employee,83336,22476,737,49950,Consumer Durable Loan,Self-Owned,24,0
32,male,Skilled Employee,59216,24124,692,133100,Vehicle Loan,Self-Owned,18,0
37,female,Skilled Employee,91976,14045,566,70100,Consumer Durable Loan,Rented,12,0
36,male,Highly Skilled,183070,59776,713,608450,Vehicle Loan,Family-Owned,48,0
28,male,Skilled Employee,54231,17875,900,153000,Consumer Durable Loan,Self-Owned,48,0
34,male,Unskilled Resident,41614,11194,620,599900,Home Renovation Loan,Self-Owned,30,1
32,male,Skilled Employee,76258,16861,574,134850,Consumer Durable Loan,Self-Owned,9,0
26,female,Skilled Employee,68253,15043,874,120200,Consumer Durable Loan,Self-Owned,18,0
49,male,Unskilled Resident,24310,10091,779,63100,Consumer Durable Loan,Self-Owned,12,1
32,female,Skilled Employee,80752,22821,734,230550,Consumer Durable Loan,Self-Owned,6,0
29,male,Highly Skilled,173524,43253,829,95050,Consumer Durable Loan,Rented,24,0
23,male,Skilled Employee,71037,20219,653,168400,Vehicle Loan,Rented,15,0
50,male,Skilled Employee,52219,18319,711,78700,Consumer Durable Loan,Self-Owned,12,0
49,male,Unskilled Resident,15235,2951,796,72250,Consumer Durable Loan,Self-Owned,18,0
63,male,Skilled Employee,82929,23620,888,76000,Consumer Durable Loan,Self-Owned,15,0
37,male,Skilled Employee,41908,13677,626,193900,Vehicle Loan,Self-Owned,24,0
35,female,Unskilled Resident,23567,10241,822,536100,Vehicle Loan,Self-Owned,47,1
26,male,Skilled Employee,76298,17224,750,239400,Vehicle Loan,Self-Owned,48,0
31,male,Highly Skilled,160792,41448,733,379100,Personal Loan,Family-Owned,48,0
49,female,Skilled Employee,59019,15569,719,54600,Consumer Durable Loan,Self-Owned,12,0
48,male,Skilled Employee,48162,15973,609,51200,Consumer Durable Loan,Self-Owned,24,0
26,male,Skilled Employee,98914,25422,797,53800,Business Loan,Self-Owned,12,0
28,male,Highly Skilled,95415,29583,657,469900,Vehicle Loan,Rented,36,0
44,female,Highly Skilled,126159,48512,633,320950,Vehicle Loan,Family-Owned,24,0
56,male,Skilled Employee,83925,30348,790,239800,Vehicle Loan,Family-Owned,42,0
46,male,Highly Skilled,95951,27241,783,381450,Business Loan,Self-Owned,48,0
26,female,Skilled Employee,61852,25313,726,498000,Consumer Durable Loan,Self-Owned,48,0
20,female,Skilled Employee,48007,15239,806,233750,Vehicle Loan,Rented,12,0
45,male,Unskilled Resident,43426,13547,834,64350,Vehicle Loan,Self-Owned,10,0
43,male,Skilled Employee,81832,13114,824,125750,Consumer Durable Loan,Self-Owned,18,0
32,male,Skilled Employee,98596,43974,677,137250,Consumer Durable Loan,Self-Owned,21,1
54,female,Unskilled,37797,7063,801,33600,Vehicle Loan,Self-Owned,6,0
42,female,Skilled Employee,70523,15468,736,190200,Consumer Durable Loan,Self-Owned,36,0
37,male,Unskilled Resident,38325,6343,858,67200,Vehicle Loan,Self-Owned,24,0
49,male,Skilled Employee,98658,33741,710,51900,Vehicle Loan,Self-Owned,10,0
44,male,Skilled Employee,61204,13306,691,506350,Vehicle Loan,Family-Owned,48,0
33,male,Skilled Employee,55524,11327,670,77150,Consumer Durable Loan,Self-Owned,6,0
24,female,Unskilled Resident,34282,6053,735,240550,Vehicle Loan,Rented,30,0
33,male,Unskilled Resident,38930,7046,757,36350,Consumer Durable Loan,Self-Owned,12,0
24,female,Skilled Employee,40077,13041,758,61850,Consumer Durable Loan,Self-Owned,8,0
22,male,Unskilled Resident,22577,8047,747,13800,Vehicle Loan,Rented,9,0
40,male,Unskilled,42197,11360,773,269050,Personal Loan,Family-Owned,48,0
25,male,Skilled Employee,60611,17817,702,275550,Consumer Durable Loan,Self-Owned,24,0
26,female,Skilled Employee,56984,20274,650,187450,Consumer Durable Loan,Self-Owned,24,0
25,male,Unskilled Resident,29060,4510,643,34250,Vehicle Loan,Self-Owned,12,0
29,male,Unskilled Resident,32449,8012,798,74700,Vehicle Loan,Self-Owned,4,0
31,male,Skilled Employee,58520,25861,757,137300,Consumer Durable Loan,Self-Owned,36,1
38,male,Unskilled Resident,42025,13617,571,35400,Consumer Durable Loan,Self-Owned,12,0
48,female,Unskilled Resident,25535,5777,807,217550,Consumer Durable Loan,Self-Owned,24,0
32,male,Skilled Employee,99207,30408,870,35050,Education Loan,Self-Owned,12,0
27,female,Unskilled Resident,24510,6196,662,182150,Consumer Durable Loan,Self-Owned,15,0
